rssi,Time
-60,2022-09-04 08:39:38.768
-64,2022-09-04 08:39:38.796
-60,2022-09-04 08:39:38.823
-67,2022-09-04 08:39:38.845
-60,2022-09-04 08:39:38.867
-64,2022-09-04 08:39:38.890
-63,2022-09-04 08:39:38.917
-63,2022-09-04 08:39:38.938
-60,2022-09-04 08:39:38.968
-63,2022-09-04 08:39:38.997
-60,2022-09-04 08:39:39.048
-65,2022-09-04 08:39:39.073
-60,2022-09-04 08:39:39.100
-64,2022-09-04 08:39:39.127
-64,2022-09-04 08:39:39.155
-60,2022-09-04 08:39:39.178
-63,2022-09-04 08:39:39.203
-64,2022-09-04 08:39:39.223
-64,2022-09-04 08:39:39.244
-64,2022-09-04 08:39:39.270
-60,2022-09-04 08:39:39.301
-63,2022-09-04 08:39:39.350
-63,2022-09-04 08:39:39.379
-63,2022-09-04 08:39:39.400
-60,2022-09-04 08:39:39.428
-64,2022-09-04 08:39:39.447
-64,2022-09-04 08:39:39.496
-67,2022-09-04 08:39:39.518
-59,2022-09-04 08:39:39.545
-63,2022-09-04 08:39:39.570
-59,2022-09-04 08:39:39.596
-63,2022-09-04 08:39:39.617
-63,2022-09-04 08:39:39.643
-63,2022-09-04 08:39:39.673
-58,2022-09-04 08:39:39.700
-58,2022-09-04 08:39:39.729
-63,2022-09-04 08:39:39.758
-58,2022-09-04 08:39:39.784
-63,2022-09-04 08:39:39.809
-58,2022-09-04 08:39:39.859
-63,2022-09-04 08:39:39.883
-58,2022-09-04 08:39:39.913
-63,2022-09-04 08:39:39.933
-63,2022-09-04 08:39:39.983
-62,2022-09-04 08:39:40.008
-63,2022-09-04 08:39:40.034
-63,2022-09-04 08:39:40.063
-63,2022-09-04 08:39:40.089
-63,2022-09-04 08:39:40.114
-63,2022-09-04 08:39:40.138
-58,2022-09-04 08:39:40.194
-63,2022-09-04 08:39:40.218
-58,2022-09-04 08:39:40.241
-58,2022-09-04 08:39:40.264
-63,2022-09-04 08:39:40.293
-63,2022-09-04 08:39:40.317
-58,2022-09-04 08:39:40.345
-63,2022-09-04 08:39:40.374
-58,2022-09-04 08:39:40.403
-63,2022-09-04 08:39:40.428
-58,2022-09-04 08:39:40.458
-58,2022-09-04 08:39:40.487
-62,2022-09-04 08:39:40.509
-62,2022-09-04 08:39:40.531
-63,2022-09-04 08:39:40.552
-62,2022-09-04 08:39:40.579
-62,2022-09-04 08:39:40.600
-58,2022-09-04 08:39:40.624
-62,2022-09-04 08:39:40.649
-62,2022-09-04 08:39:40.670
-58,2022-09-04 08:39:40.696
-61,2022-09-04 08:39:40.717
-57,2022-09-04 08:39:40.742
-61,2022-09-04 08:39:40.771
-62,2022-09-04 08:39:40.797
-57,2022-09-04 08:39:40.820
-58,2022-09-04 08:39:40.849
-58,2022-09-04 08:39:40.875
-58,2022-09-04 08:39:40.896
-63,2022-09-04 08:39:40.920
-63,2022-09-04 08:39:40.950
-63,2022-09-04 08:39:41.025
-58,2022-09-04 08:39:41.053
-62,2022-09-04 08:39:41.076
-62,2022-09-04 08:39:41.099
-63,2022-09-04 08:39:41.124
-58,2022-09-04 08:39:41.149
-63,2022-09-04 08:39:41.172
-58,2022-09-04 08:39:41.220
-63,2022-09-04 08:39:41.240
-62,2022-09-04 08:39:41.264
-62,2022-09-04 08:39:41.293
-61,2022-09-04 08:39:41.320
-62,2022-09-04 08:39:41.344
-62,2022-09-04 08:39:41.389
-58,2022-09-04 08:39:41.414
-63,2022-09-04 08:39:41.438
-59,2022-09-04 08:39:41.467
-63,2022-09-04 08:39:41.493
-63,2022-09-04 08:39:41.521
-58,2022-09-04 08:39:41.543
-63,2022-09-04 08:39:41.569
-58,2022-09-04 08:39:41.590
-58,2022-09-04 08:39:41.615
-63,2022-09-04 08:39:41.639
-63,2022-09-04 08:39:41.665
-58,2022-09-04 08:39:41.695
-59,2022-09-04 08:39:41.725
-60,2022-09-04 08:39:41.754
-65,2022-09-04 08:39:41.775
-65,2022-09-04 08:39:41.805
-60,2022-09-04 08:39:41.834
-60,2022-09-04 08:39:41.855
-65,2022-09-04 08:39:41.879
-60,2022-09-04 08:39:41.910
-63,2022-09-04 08:39:41.938
-63,2022-09-04 08:39:41.959
-64,2022-09-04 08:39:41.988
-63,2022-09-04 08:39:42.014
-64,2022-09-04 08:39:42.034
-63,2022-09-04 08:39:42.056
-64,2022-09-04 08:39:42.080
-60,2022-09-04 08:39:42.110
-60,2022-09-04 08:39:42.137
-62,2022-09-04 08:39:42.163
-64,2022-09-04 08:39:42.183
-62,2022-09-04 08:39:42.208
-64,2022-09-04 08:39:42.234
-62,2022-09-04 08:39:42.263
-60,2022-09-04 08:39:42.288
-60,2022-09-04 08:39:42.312
-62,2022-09-04 08:39:42.336
-62,2022-09-04 08:39:42.364
-64,2022-09-04 08:39:42.385
-62,2022-09-04 08:39:42.406
-62,2022-09-04 08:39:42.460
-62,2022-09-04 08:39:42.487
-60,2022-09-04 08:39:42.512
-62,2022-09-04 08:39:42.536
-64,2022-09-04 08:39:42.565
-64,2022-09-04 08:39:42.610
-62,2022-09-04 08:39:42.640
-64,2022-09-04 08:39:42.663
-61,2022-09-04 08:39:42.692
-63,2022-09-04 08:39:42.719
-61,2022-09-04 08:39:42.743
-62,2022-09-04 08:39:42.767
-63,2022-09-04 08:39:42.789
-61,2022-09-04 08:39:42.819
-61,2022-09-04 08:39:42.844
-61,2022-09-04 08:39:42.895
-64,2022-09-04 08:39:42.919
-62,2022-09-04 08:39:42.942
-61,2022-09-04 08:39:42.973
-64,2022-09-04 08:39:42.998
-62,2022-09-04 08:39:43.024
-61,2022-09-04 08:39:43.053
-65,2022-09-04 08:39:43.072
-64,2022-09-04 08:39:43.096
-60,2022-09-04 08:39:43.126
-60,2022-09-04 08:39:43.150
-62,2022-09-04 08:39:43.169
-62,2022-09-04 08:39:43.216
-60,2022-09-04 08:39:43.244
-64,2022-09-04 08:39:43.266
-60,2022-09-04 08:39:43.290
-62,2022-09-04 08:39:43.317
-60,2022-09-04 08:39:43.348
-64,2022-09-04 08:39:43.370
-60,2022-09-04 08:39:43.392
-60,2022-09-04 08:39:43.421
-62,2022-09-04 08:39:43.447
-60,2022-09-04 08:39:43.470
-63,2022-09-04 08:39:43.499
-63,2022-09-04 08:39:43.549
-63,2022-09-04 08:39:43.578
-60,2022-09-04 08:39:43.600
-63,2022-09-04 08:39:43.628
-62,2022-09-04 08:39:43.649
-65,2022-09-04 08:39:43.676
-60,2022-09-04 08:39:43.704
-63,2022-09-04 08:39:43.747
