rssi,Time
-93,2022-09-05 15:26:29.536
-90,2022-09-05 15:26:29.466
-95,2022-09-05 15:26:29.466
-93,2022-09-05 15:26:29.536
-90,2022-09-05 15:26:30.220
-91,2022-09-05 15:26:30.132
-96,2022-09-05 15:26:34.377
-92,2022-09-05 15:26:31.668
-93,2022-09-05 15:26:32.274
-83,2022-09-05 15:26:31.128
-96,2022-09-05 15:26:34.377
-92,2022-09-05 15:26:31.668
-93,2022-09-05 15:26:32.274
-80,2022-09-05 15:26:32.010
-96,2022-09-05 15:26:34.377
-96,2022-09-05 15:26:36.111
-83,2022-09-05 15:26:34.026
-96,2022-09-05 15:26:34.377
-93,2022-09-05 15:26:37.831
-96,2022-09-05 15:26:36.111
-83,2022-09-05 15:26:34.026
-96,2022-09-05 15:26:34.377
-93,2022-09-05 15:26:37.831
-96,2022-09-05 15:26:36.111
-85,2022-09-05 15:26:35.851
-93,2022-09-05 15:26:36.066
-93,2022-09-05 15:26:37.831
-96,2022-09-05 15:26:36.111
-91,2022-09-05 15:26:38.494
-93,2022-09-05 15:26:36.066
-93,2022-09-05 15:26:37.831
-91,2022-09-05 15:26:38.436
-91,2022-09-05 15:26:38.494
-94,2022-09-05 15:26:40.970
-93,2022-09-05 15:26:37.831
-91,2022-09-05 15:26:38.436
-91,2022-09-05 15:26:38.494
-94,2022-09-05 15:26:40.970
-93,2022-09-05 15:26:38.806
-92,2022-09-05 15:26:41.425
-89,2022-09-05 15:26:39.137
-94,2022-09-05 15:26:40.970
-88,2022-09-05 15:26:39.314
-92,2022-09-05 15:26:41.425
-85,2022-09-05 15:26:40.374
-94,2022-09-05 15:26:40.970
-87,2022-09-05 15:26:40.088
-92,2022-09-05 15:26:41.425
-90,2022-09-05 15:26:42.320
-89,2022-09-05 15:26:41.699
-88,2022-09-05 15:26:42.511
-90,2022-09-05 15:26:42.320
-93,2022-09-05 15:26:43.133
-89,2022-09-05 15:26:43.156
-92,2022-09-05 15:26:43.582
-93,2022-09-05 15:26:43.133
-89,2022-09-05 15:26:44.262
-89,2022-09-05 15:26:44.250
-87,2022-09-05 15:26:46.154
-86,2022-09-05 15:26:49.047
-80,2022-09-05 15:26:49.340
-89,2022-09-05 15:26:45.492
-87,2022-09-05 15:26:46.154
-86,2022-09-05 15:26:49.047
-80,2022-09-05 15:26:49.340
-91,2022-09-05 15:26:46.319
-87,2022-09-05 15:26:46.154
-86,2022-09-05 15:26:49.047
-80,2022-09-05 15:26:49.340
-89,2022-09-05 15:26:47.030
-84,2022-09-05 15:26:47.022
-86,2022-09-05 15:26:49.047
-80,2022-09-05 15:26:49.340
-94,2022-09-05 15:26:48.088
-87,2022-09-05 15:26:48.097
-86,2022-09-05 15:26:49.047
-80,2022-09-05 15:26:49.340
-93,2022-09-05 15:26:49.051
-86,2022-09-05 15:26:50.393
-84,2022-09-05 15:26:50.489
-84,2022-09-05 15:26:50.661
-92,2022-09-05 15:26:50.410
-86,2022-09-05 15:26:50.393
-90,2022-09-05 15:26:51.907
-85,2022-09-05 15:26:51.026
-86,2022-09-05 15:26:51.420
-91,2022-09-05 15:26:52.900
-86,2022-09-05 15:26:54.536
-73,2022-09-05 15:26:52.546
-90,2022-09-05 15:26:54.733
-86,2022-09-05 15:26:54.536
