name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367531668,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367532766,-84,-84
FF:FF:C0:21:EF:BA,INSIDE,1551367532330,-88,-88
FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367532237,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367533316,-85,-85
FF:FF:C0:21:EF:BA,INSIDE,1551367537837,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367533389,-92,-92
FF:FF:C0:21:EF:BF,INSIDE,1551367533118,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367534026,-83,-83
FF:FF:C0:21:EF:BA,INSIDE,1551367537837,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367534067,-96,-96
FF:FF:C0:21:F1:31,INSIDE,1551367535088,-83,-83
FF:FF:C0:21:EF:BA,INSIDE,1551367537837,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367535277,-83,-83
FF:FF:C0:21:F1:31,INSIDE,1551367536086,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367537837,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367536080,-80,-80
FF:FF:C0:21:F1:31,INSIDE,1551367537183,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367537837,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367541525,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367537358,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367538672,-88,-88
FF:FF:C0:21:EF:BA,INSIDE,1551367538528,-83,-83
FF:FF:C0:21:EF:1A,INSIDE,1551367541525,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367538263,-96,-96
FF:FF:C0:21:F1:31,INSIDE,1551367539150,-88,-88
FF:FF:C0:21:EF:BA,INSIDE,1551367540062,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367541525,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367540424,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367540062,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367541525,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367540424,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367541225,-84,-84
FF:FF:C0:21:EF:1A,INSIDE,1551367541525,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367542480,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367542278,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367542278,-88,-88
FF:FF:C0:21:EF:1A,INSIDE,1551367543017,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367542480,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367543021,-87,-87
FF:FF:C0:21:EF:1A,INSIDE,1551367543017,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367543016,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367544056,-79,-79
FF:FF:C0:21:EF:1A,INSIDE,1551367544267,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367544075,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367545040,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367546181,-94,-94
FF:FF:C0:21:EF:1A,INSIDE,1551367547197,-92,-92
FF:FF:C0:21:EF:BF,INSIDE,1551367545348,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367547943,-84,-84
FF:FF:C0:21:EF:BA,INSIDE,1551367546181,-94,-94
FF:FF:C0:21:EF:1A,INSIDE,1551367547197,-92,-92
FF:FF:C0:21:EF:BF,INSIDE,1551367546119,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367547943,-84,-84
FF:FF:C0:21:EF:BA,INSIDE,1551367547001,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367547197,-92,-92
FF:FF:C0:21:EF:BF,INSIDE,1551367547247,-83,-83
FF:FF:C0:21:F1:31,INSIDE,1551367548091,-81,-81
FF:FF:C0:21:EF:BA,INSIDE,1551367548905,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367548123,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367548308,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367549253,-88,-88
FF:FF:C0:21:EF:BA,INSIDE,1551367551725,-87,-87
FF:FF:C0:21:EF:1A,INSIDE,1551367549187,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367550447,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367550162,-81,-81
FF:FF:C0:21:EF:BA,INSIDE,1551367551725,-87,-87
FF:FF:C0:21:EF:1A,INSIDE,1551367550017,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367550447,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367551041,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367551725,-87,-87
FF:FF:C0:21:EF:1A,INSIDE,1551367551726,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367551271,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367552723,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367553040,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367554704,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367552121,-85,-85
FF:FF:C0:21:EF:BA,INSIDE,1551367553040,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367554704,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367553006,-86,-86
FF:FF:C0:21:EF:BA,INSIDE,1551367554048,-85,-85
FF:FF:C0:21:EF:1A,INSIDE,1551367554704,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367554022,-87,-87
FF:FF:C0:21:EF:BA,INSIDE,1551367555081,-86,-86
FF:FF:C0:21:EF:1A,INSIDE,1551367555771,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367555317,-90,-90
FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367556038,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367557117,-86,-86
FF:FF:C0:21:EF:BF,INSIDE,1551367556561,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367557265,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367557117,-86,-86
FF:FF:C0:21:EF:BF,INSIDE,1551367557640,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367558992,-79,-79
FF:FF:C0:21:EF:1A,INSIDE,1551367558543,-88,-88
FF:FF:C0:21:EF:BF,INSIDE,1551367558544,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367560236,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367559122,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367559607,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367560475,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367560236,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367560035,-86,-86
FF:FF:C0:21:EF:BF,INSIDE,1551367560218,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367561486,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367562651,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367561482,-88,-88
FF:FF:C0:21:EF:BF,INSIDE,1551367561282,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367562652,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367562651,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367562237,-83,-83
FF:FF:C0:21:EF:BF,INSIDE,1551367562384,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367563252,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367563251,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367563279,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367563841,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367564299,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367566800,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367564302,-85,-85
FF:FF:C0:21:EF:BF,INSIDE,1551367564948,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367565850,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367566800,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367565354,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367565143,-92,-92
FF:FF:C0:21:F1:31,INSIDE,1551367566201,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367566800,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367566457,-92,-92
FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367567902,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367567314,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367567083,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367569899,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367569655,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367568084,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367569899,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367569655,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367569401,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367571729,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367570046,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367570926,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367570807,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367571729,-92,-92
FF:FF:C0:21:EF:BA,INSIDE,1551367571325,-88,-88
FF:FF:C0:21:EF:1A,INSIDE,1551367571547,-90,-90
FF:FF:C0:21:EF:BF,INSIDE,1551367571013,-83,-83
FF:FF:C0:21:F1:31,INSIDE,1551367572211,-86,-86
FF:FF:C0:21:EF:BA,INSIDE,1551367572435,-91,-91
