,time,rssi,azimuth,elevation,anchor,tag
106,2022-09-18 05:51:17.000,-81.0,26.0,-2.0,anchor-a@ch37,tag-a@-35
107,2022-09-18 05:51:17.500,-80.33333333333333,26.0,-1.0,anchor-a@ch37,tag-a@-35
108,2022-09-18 05:51:18.000,-81.0,27.0,-1.0,anchor-a@ch37,tag-a@-35
109,2022-09-18 05:51:18.500,-80.0,26.75,-1.0,anchor-a@ch37,tag-a@-35
110,2022-09-18 05:51:19.000,-80.5,26.5,-1.0,anchor-a@ch37,tag-a@-35
111,2022-09-18 05:51:19.500,-80.33333333333333,26.0,-1.0,anchor-a@ch37,tag-a@-35
112,2022-09-18 05:51:20.000,-80.2,26.0,-1.0,anchor-a@ch37,tag-a@-35
113,2022-09-18 05:51:20.500,-81.25,24.75,-1.75,anchor-a@ch37,tag-a@-35
114,2022-09-18 05:51:21.000,-80.0,25.0,-1.0,anchor-a@ch37,tag-a@-35
115,2022-09-18 05:51:21.500,-81.5,26.0,-1.5,anchor-a@ch37,tag-a@-35
116,2022-09-18 05:51:22.000,-80.5,28.0,-2.0,anchor-a@ch37,tag-a@-35
117,2022-09-18 05:51:22.500,-80.0,26.6,-1.0,anchor-a@ch37,tag-a@-35
118,2022-09-18 05:51:23.000,-80.66666666666667,26.0,-1.0,anchor-a@ch37,tag-a@-35
119,2022-09-18 05:51:23.500,-81.28571428571429,24.142857142857142,-1.0,anchor-a@ch37,tag-a@-35
120,2022-09-18 05:50:24.000,-75.5,25.0,-1.0,anchor-a@ch38,tag-a@-35
121,2022-09-18 05:50:24.500,-74.5,25.0,-1.0,anchor-a@ch38,tag-a@-35
122,2022-09-18 05:50:25.000,-75.0,24.25,-1.0,anchor-a@ch38,tag-a@-35
123,2022-09-18 05:50:25.500,-74.4,24.2,-1.2,anchor-a@ch38,tag-a@-35
124,2022-09-18 05:50:26.000,-74.8,25.6,-1.2,anchor-a@ch38,tag-a@-35
125,2022-09-18 05:50:26.500,-75.33333333333333,25.333333333333332,-1.3333333333333333,anchor-a@ch38,tag-a@-35
126,2022-09-18 05:50:27.000,-74.75,24.75,-1.0,anchor-a@ch38,tag-a@-35
127,2022-09-18 05:50:27.500,-75.25,26.0,-1.75,anchor-a@ch38,tag-a@-35
128,2022-09-18 05:50:28.000,-75.2,25.6,-1.0,anchor-a@ch38,tag-a@-35
129,2022-09-18 05:50:28.500,-74.83333333333333,25.0,-1.0,anchor-a@ch38,tag-a@-35
130,2022-09-18 05:50:29.000,-74.66666666666667,25.0,-1.0,anchor-a@ch38,tag-a@-35
131,2022-09-18 05:50:29.500,-76.0,24.0,-1.0,anchor-a@ch38,tag-a@-35
132,2022-09-18 05:50:30.000,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
133,2022-09-18 05:50:30.500,-75.2,25.2,-0.8,anchor-a@ch38,tag-a@-35
134,2022-09-18 05:50:31.000,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
135,2022-09-18 05:50:31.500,-75.14285714285714,25.0,-1.0,anchor-a@ch38,tag-a@-35
136,2022-09-18 05:50:32.000,-74.75,25.0,-2.0,anchor-a@ch38,tag-a@-35
137,2022-09-18 05:50:32.500,-75.0,25.5,-2.0,anchor-a@ch38,tag-a@-35
138,2022-09-18 05:50:33.000,-75.0,27.0,-1.0,anchor-a@ch38,tag-a@-35
139,2022-09-18 05:50:33.500,-75.0,24.333333333333332,-0.3333333333333333,anchor-a@ch38,tag-a@-35
140,2022-09-18 05:50:34.000,-74.5,24.0,-0.75,anchor-a@ch38,tag-a@-35
141,2022-09-18 05:50:34.500,-75.0,23.0,0.0,anchor-a@ch38,tag-a@-35
142,2022-09-18 05:50:35.000,-75.25,23.0,0.0,anchor-a@ch38,tag-a@-35
143,2022-09-18 05:50:35.500,-74.6,25.0,-1.0,anchor-a@ch38,tag-a@-35
144,2022-09-18 05:50:36.000,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
145,2022-09-18 05:50:36.500,-75.33333333333333,24.333333333333332,-1.0,anchor-a@ch38,tag-a@-35
146,2022-09-18 05:50:37.000,-74.5,25.25,-1.5,anchor-a@ch38,tag-a@-35
147,2022-09-18 05:50:37.500,-75.0,27.333333333333332,-1.6666666666666667,anchor-a@ch38,tag-a@-35
148,2022-09-18 05:50:38.000,-74.5,27.0,-2.0,anchor-a@ch38,tag-a@-35
149,2022-09-18 05:50:38.500,-74.8,26.4,-1.6,anchor-a@ch38,tag-a@-35
150,2022-09-18 05:50:39.000,-75.0,24.75,-1.5,anchor-a@ch38,tag-a@-35
151,2022-09-18 05:50:39.500,-74.625,24.25,-0.125,anchor-a@ch38,tag-a@-35
152,2022-09-18 05:50:40.000,-75.0,26.4,-1.8,anchor-a@ch38,tag-a@-35
153,2022-09-18 05:50:40.500,-75.0,26.0,-1.8571428571428572,anchor-a@ch38,tag-a@-35
154,2022-09-18 05:50:41.000,-75.0,26.0,-1.0,anchor-a@ch38,tag-a@-35
155,2022-09-18 05:50:41.500,-75.28571428571429,25.285714285714285,-1.0,anchor-a@ch38,tag-a@-35
156,2022-09-18 05:50:42.000,-74.83333333333333,25.0,-1.0,anchor-a@ch38,tag-a@-35
157,2022-09-18 05:50:42.500,-75.5,25.0,-1.0,anchor-a@ch38,tag-a@-35
158,2022-09-18 05:50:43.000,-75.5,24.75,-1.0,anchor-a@ch38,tag-a@-35
159,2022-09-18 05:50:43.500,-75.16666666666667,26.0,-1.1666666666666667,anchor-a@ch38,tag-a@-35
160,2022-09-18 05:50:44.000,-75.42857142857143,26.0,-1.2857142857142858,anchor-a@ch38,tag-a@-35
161,2022-09-18 05:50:44.500,-75.4,26.0,-1.0,anchor-a@ch38,tag-a@-35
162,2022-09-18 05:50:45.000,-75.66666666666667,25.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
163,2022-09-18 05:50:45.500,-75.5,24.25,-1.0,anchor-a@ch38,tag-a@-35
164,2022-09-18 05:50:46.000,-75.0,24.0,0.0,anchor-a@ch38,tag-a@-35
165,2022-09-18 05:50:46.500,-75.25,24.375,-1.0,anchor-a@ch38,tag-a@-35
166,2022-09-18 05:50:47.000,-75.5,25.0,-1.5,anchor-a@ch38,tag-a@-35
167,2022-09-18 05:50:47.500,-75.0,25.0,-1.2,anchor-a@ch38,tag-a@-35
168,2022-09-18 05:50:48.000,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
169,2022-09-18 05:50:48.500,-74.66666666666667,24.333333333333332,-1.0,anchor-a@ch38,tag-a@-35
170,2022-09-18 05:50:49.000,-75.0,23.25,-1.0,anchor-a@ch38,tag-a@-35
171,2022-09-18 05:50:49.500,-75.6,23.0,-0.6,anchor-a@ch38,tag-a@-35
172,2022-09-18 05:50:50.000,-75.0,24.2,-1.0,anchor-a@ch38,tag-a@-35
173,2022-09-18 05:50:50.500,-75.625,25.25,-1.125,anchor-a@ch38,tag-a@-35
174,2022-09-18 05:50:51.000,-75.28571428571429,25.0,-1.0,anchor-a@ch38,tag-a@-35
175,2022-09-18 05:50:51.500,-74.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
176,2022-09-18 05:50:52.000,-75.8,25.0,-1.4,anchor-a@ch38,tag-a@-35
177,2022-09-18 05:50:52.500,-75.0,26.0,-2.0,anchor-a@ch38,tag-a@-35
178,2022-09-18 05:50:53.000,-75.75,25.75,-1.5,anchor-a@ch38,tag-a@-35
179,2022-09-18 05:50:53.500,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
180,2022-09-18 05:50:54.000,-75.5,25.0,-1.0,anchor-a@ch38,tag-a@-35
181,2022-09-18 05:50:54.500,-75.75,24.5,0.0,anchor-a@ch38,tag-a@-35
182,2022-09-18 05:50:55.000,-76.0,23.2,0.0,anchor-a@ch38,tag-a@-35
183,2022-09-18 05:50:55.500,-75.85714285714286,23.714285714285715,-0.7142857142857143,anchor-a@ch38,tag-a@-35
184,2022-09-18 05:50:56.000,-75.0,25.25,-1.5,anchor-a@ch38,tag-a@-35
185,2022-09-18 05:50:56.500,-75.0,26.0,-2.0,anchor-a@ch38,tag-a@-35
186,2022-09-18 05:50:57.000,-75.0,25.75,-1.5,anchor-a@ch38,tag-a@-35
187,2022-09-18 05:50:57.500,-74.83333333333333,24.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
188,2022-09-18 05:50:58.000,-75.25,26.5,-1.0,anchor-a@ch38,tag-a@-35
189,2022-09-18 05:50:58.500,-75.25,25.5,-1.0,anchor-a@ch38,tag-a@-35
190,2022-09-18 05:50:59.000,-75.0,24.8,0.0,anchor-a@ch38,tag-a@-35
191,2022-09-18 05:50:59.500,-76.5,24.0,0.0,anchor-a@ch38,tag-a@-35
192,2022-09-18 05:51:00.000,-75.25,25.0,-0.75,anchor-a@ch38,tag-a@-35
193,2022-09-18 05:51:00.500,-76.0,26.0,-1.0,anchor-a@ch38,tag-a@-35
194,2022-09-18 05:51:01.000,-75.25,25.75,-2.0,anchor-a@ch38,tag-a@-35
195,2022-09-18 05:51:01.500,-75.5,25.0,-1.5,anchor-a@ch38,tag-a@-35
196,2022-09-18 05:51:02.000,-76.0,24.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
197,2022-09-18 05:51:02.500,-75.66666666666667,24.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
198,2022-09-18 05:51:03.000,-75.5,25.0,-1.0,anchor-a@ch38,tag-a@-35
199,2022-09-18 05:51:03.500,-75.0,25.285714285714285,-1.0,anchor-a@ch38,tag-a@-35
200,2022-09-18 05:51:04.000,-75.66666666666667,25.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
201,2022-09-18 05:51:04.500,-76.0,25.0,0.0,anchor-a@ch38,tag-a@-35
202,2022-09-18 05:51:05.000,-75.0,24.75,0.0,anchor-a@ch38,tag-a@-35
203,2022-09-18 05:51:05.500,-74.83333333333333,25.333333333333332,-0.8333333333333334,anchor-a@ch38,tag-a@-35
204,2022-09-18 05:51:06.000,-75.0,25.5,-1.0,anchor-a@ch38,tag-a@-35
205,2022-09-18 05:51:06.500,-75.2,25.8,-1.0,anchor-a@ch38,tag-a@-35
206,2022-09-18 05:51:07.000,-76.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
207,2022-09-18 05:51:07.500,-75.42857142857143,24.857142857142858,-0.14285714285714285,anchor-a@ch38,tag-a@-35
208,2022-09-18 05:51:08.000,-75.25,25.125,-1.125,anchor-a@ch38,tag-a@-35
209,2022-09-18 05:51:08.500,-75.0,24.666666666666668,-2.0,anchor-a@ch38,tag-a@-35
210,2022-09-18 05:51:09.000,-75.0,24.25,-2.0,anchor-a@ch38,tag-a@-35
211,2022-09-18 05:51:09.500,-75.4,24.4,-1.0,anchor-a@ch38,tag-a@-35
212,2022-09-18 05:51:10.000,-75.0,25.0,-1.0,anchor-a@ch38,tag-a@-35
213,2022-09-18 05:51:10.500,-75.83333333333333,24.833333333333332,-1.0,anchor-a@ch38,tag-a@-35
214,2022-09-18 05:51:11.000,-75.33333333333333,25.0,-1.0,anchor-a@ch38,tag-a@-35
215,2022-09-18 05:51:11.500,-76.0,25.0,-1.6,anchor-a@ch38,tag-a@-35
216,2022-09-18 05:51:12.000,-76.4,25.0,-2.0,anchor-a@ch38,tag-a@-35
217,2022-09-18 05:51:12.500,-75.0,25.0,-2.0,anchor-a@ch38,tag-a@-35
218,2022-09-18 05:51:13.000,-75.66666666666667,25.333333333333332,-1.0,anchor-a@ch38,tag-a@-35
219,2022-09-18 05:51:13.500,-75.28571428571429,24.714285714285715,-1.0,anchor-a@ch38,tag-a@-35
220,2022-09-18 05:51:14.000,-76.0,24.0,-1.0,anchor-a@ch38,tag-a@-35
221,2022-09-18 05:51:14.500,-75.8,24.8,-1.0,anchor-a@ch38,tag-a@-35
